Date,mpshock_sum,mpshock,ff,logip,lopcpi,logwcp,unemps
3/1/1984,-4.180281906,-0.02648995,9.91,4.009244086,4.633757643,4.434619,7.8
4/1/1984,-4.180281906,0,10.29,4.015506961,4.637637376,4.435449,7.7
5/1/1984,-4.110634422,0.069647485,10.32,4.020233257,4.639571613,4.438052,7.4
6/1/1984,-4.110634422,0,11.06,4.023716426,4.641502115,4.403054,7.2
7/1/1984,-3.76885964,0.341774782,11.23,4.026854133,4.645351976,4.343416,7.5
8/1/1984,-3.789250144,-0.020390504,11.64,4.02780582,4.648229675,4.333886,7.5
9/1/1984,-3.789250144,0,11.3,4.026033601,4.651099118,4.317355,7.3
10/1/1984,-3.848084399,-0.058834256,9.99,4.024385152,4.654912278,4.302442,7.4
11/1/1984,-4.397748878,-0.549664478,9.43,4.028324055,4.656813419,4.297285,7.2
12/1/1984,-4.621706366,-0.223957488,8.38,4.029443309,4.658710953,4.272909,7.3
1/1/1985,-4.621706366,0,8.35,4.027845008,4.660604893,4.274581,7.3
2/1/1985,-4.730386818,-0.108680452,8.5,4.031268083,4.666265285,4.263384,7.2
3/1/1985,-4.541318454,0.189068364,8.58,4.032880421,4.670957927,4.262116,7.2
4/1/1985,-4.541318454,0,8.27,4.030149093,4.672828834,4.271793,7.3
5/1/1985,-4.724152792,-0.182834338,7.97,4.031560945,4.674696249,4.246779,7.2
6/1/1985,-4.724152792,0,7.53,4.032293611,4.677490848,4.230622,7.4
7/1/1985,-4.668218777,0.055934015,7.88,4.025769461,4.679349584,4.209457,7.4
8/1/1985,-4.516800947,0.15141783,7.9,4.029903814,4.681204872,4.188745,7.1
9/1/1985,-4.516800947,0,7.92,4.034210549,4.683056725,4.173156,7.1
10/1/1985,-4.432699632,0.084101315,7.99,4.030069118,4.686750173,4.183728,7.1
11/1/1985,-4.433705434,-0.001005802,8.05,4.033442089,4.691347882,4.201553,7
12/1/1985,-4.530192026,-0.096486592,8.27,4.043854454,4.695924549,4.242046,7
1/1/1986,-4.530192026,0,8.14,4.048482108,4.699570861,4.263665,6.7
2/1/1986,-4.60983617,-0.079644145,7.86,4.041899728,4.697749367,4.259294,7.2
3/1/1986,-4.60983617,0,7.48,4.034983725,4.692264893,4.267037,7.2
4/1/1986,-4.41988237,0.1899538,6.99,4.035300254,4.688591794,4.253625,7.1
5/1/1986,-4.33739252,0.08248985,6.85,4.037461993,4.691347882,4.237723,7.2
6/1/1986,-4.33739252,0,6.92,4.034198159,4.69501089,4.204394,7.2
7/1/1986,-4.555701667,-0.218309146,6.56,4.039782774,4.695924549,4.162315,7
8/1/1986,-4.831107701,-0.275406034,6.17,4.038445943,4.696837375,4.162782,6.9
9/1/1986,-4.805611734,0.025495967,5.89,4.040472507,4.700480366,4.194039,7
10/1/1986,-4.805611734,0,5.85,4.045138562,4.702296897,4.189503,7
11/1/1986,-4.727342505,0.078269229,6.04,4.049681868,4.704110134,4.188138,6.9
12/1/1986,-4.771411181,-0.044068676,6.91,4.05806605,4.707726774,4.186924,6.6
1/1/1987,-4.771411181,0,6.43,4.054997174,4.713127327,4.1892,6.6
2/1/1987,-4.596092661,0.17531852,6.1,4.067998876,4.716711561,4.211979,6.6
3/1/1987,-4.377150043,0.218942618,6.13,4.069300221,4.720282993,4.226104,6.6
4/1/1987,-4.377150043,0,6.37,4.075588088,4.724729421,4.250208,6.3
5/1/1987,-4.101409834,0.275740209,6.85,4.082023975,4.727387819,4.281792,6.3
6/1/1987,-4.101409834,0,6.73,4.086663471,4.731802837,4.272351,6.2
7/1/1987,-4.121192186,-0.019782353,6.58,4.09357093,4.734442522,4.28854,6.1
8/1/1987,-4.141303438,-0.020111252,6.73,4.101844699,4.738826571,4.318954,6
9/1/1987,-4.242735503,-0.101432065,7.22,4.104408748,4.742320024,4.354784,5.9
10/1/1987,-4.242735503,0,7.29,4.118890823,4.744932128,4.384773,6
11/1/1987,-4.336137758,-0.093402256,6.69,4.124125023,4.748404354,4.400726,5.8
12/1/1987,-4.430038437,-0.093900679,6.77,4.1290519,4.750135956,4.431769,5.7
1/1/1988,-4.430038437,0,6.83,4.129500937,4.753590191,4.446995,5.7
2/1/1988,-4.5651893,-0.135150863,6.58,4.133836072,4.755312844,4.43758,5.7
3/1/1988,-4.469863295,0.095326005,6.58,4.135835133,4.757891273,4.480174,5.7
4/1/1988,-4.469863295,0,6.87,4.141480979,4.763881877,4.495802,5.4
5/1/1988,-4.270648749,0.199214547,7.09,4.140310106,4.766438334,4.540738,5.6
6/1/1988,-3.950969368,0.319679381,7.51,4.142853735,4.770684624,4.622617,5.4
7/1/1988,-3.950969368,0,7.75,4.143282335,4.774912961,4.543933,5.4
8/1/1988,-4.050563379,-0.099594011,8.01,4.147447635,4.779123493,4.531308,5.6
9/1/1988,-4.035295302,0.015268077,8.19,4.144704922,4.783316371,4.51623,5.4
10/1/1988,-4.035295302,0,8.3,4.149656272,4.786658062,4.520592,5.4
11/1/1988,-4.044976382,-0.00968108,8.35,4.15124146,4.789988623,4.531308,5.3
12/1/1988,-3.564262759,0.480713623,8.76,4.156118327,4.793308128,4.561009,5.3
1/1/1989,-3.564262759,0,9.12,4.159122117,4.797442074,4.558288,5.4
2/1/1989,-3.313502465,0.250760293,9.36,4.154564396,4.80073697,4.540632,5.2
3/1/1989,-3.214221253,0.099281213,9.85,4.156835676,4.805659047,4.552824,5
4/1/1989,-3.214221253,0,9.84,4.157513396,4.812997033,4.539778,5.2
5/1/1989,-3.073815932,0.140405321,9.81,4.150857212,4.817859279,4.543827,5.2
6/1/1989,-3.073815932,0,9.53,4.151334351,4.821087692,4.511409,5.3
7/1/1989,-3.072880424,0.000935508,9.24,4.142108803,4.824305716,4.491329,5.2
8/1/1989,-3.169974897,-0.097094473,8.99,4.151304438,4.824305716,4.481872,5.2
9/1/1989,-3.169974897,0,9.02,4.147812657,4.826712456,4.476314,5.3
10/1/1989,-3.210801719,-0.040826821,8.84,4.147161529,4.831508628,4.474834,5.3
11/1/1989,-3.098369166,0.112432553,8.55,4.150434999,4.835487941,4.443474,5.4
12/1/1989,-3.164054257,-0.065685091,8.45,4.156484898,4.838660029,4.420887,5.4
1/1/1990,-3.164054257,0,8.23,4.149823418,4.848116365,4.43367,5.4
2/1/1990,-2.930559627,0.23349463,8.24,4.159579716,4.852030264,4.425685,5.3
3/1/1990,-2.997982995,-0.067423368,8.28,4.164461246,4.856706812,4.4533,5.2
4/1/1990,-2.997982995,0,8.26,4.162940466,4.85903691,4.464758,5.4
5/1/1990,-2.984070415,0.01391258,8.18,4.165071707,4.860587298,4.457945,5.4
6/1/1990,-2.984070415,0,8.29,4.168277876,4.866764924,4.431412,5.2
7/1/1990,-3.088269039,-0.104198624,8.15,4.166983003,4.871373227,4.436396,5.5
8/1/1990,-2.943100054,0.145168985,8.13,4.170264939,4.879767019,4.449335,5.7
9/1/1990,-2.943100054,0,8.2,4.171529344,4.886582645,4.460376,5.9
10/1/1990,-3.036041921,-0.092941867,8.11,4.163985668,4.893352133,4.438879,5.9
11/1/1990,-3.028271185,0.007770736,7.81,4.15222503,4.895598484,4.405499,6.2
12/1/1990,-3.106366609,-0.078095424,7.31,4.14566169,4.899331225,4.392224,6.3
1/1/1991,-3.106366609,0,6.91,4.141310842,4.903050083,4.388754,6.4
2/1/1991,-3.338736155,-0.232369546,6.25,4.134305386,4.903792198,4.396915,6.6
3/1/1991,-3.065824835,0.27291132,6.12,4.1290519,4.903792198,4.392843,6.8
4/1/1991,-3.065824835,0,5.91,4.13102198,4.906015245,4.389871,6.7
5/1/1991,-2.824184877,0.241639958,5.78,4.140983207,4.909709376,4.373868,6.9
6/1/1991,-2.824184877,0,5.9,4.15005044,4.912654886,4.379649,6.9
7/1/1991,-2.882808163,-0.058623286,5.82,4.15124146,4.914124394,4.363735,6.8
8/1/1991,-2.704472585,0.178335578,5.66,4.152096041,4.917056947,4.365643,6.9
9/1/1991,-2.704472585,0,5.45,4.160959052,4.919980926,4.379524,6.9
10/1/1991,-2.712613679,-0.008141094,5.21,4.15921584,4.921439715,4.373742,7
11/1/1991,-2.848577666,-0.135963986,4.81,4.158070253,4.925803359,4.371976,7
12/1/1991,-2.733651516,0.11492615,4.43,4.154085657,4.928701911,4.372986,7.3
1/1/1992,-2.733651516,0,4.03,4.148475992,4.929425239,4.374498,7.3
2/1/1992,-2.694115835,0.039535681,4.06,4.155613682,4.931592087,4.388257,7.4
3/1/1992,-2.75003146,-0.055915625,3.98,4.163889281,4.935193099,4.389995,7.4
4/1/1992,-2.75003146,0,3.73,4.171441397,4.937347498,4.399621,7.4
5/1/1992,-2.632547664,0.117483795,3.82,4.174697991,4.939497266,4.38925,7.6
6/1/1992,-2.632547664,0,3.76,4.174841013,4.942356453,4.389995,7.8
7/1/1992,-2.703906602,-0.071358937,3.25,4.183837857,4.945207489,4.389126,7.7
8/1/1992,-2.715433309,-0.011526708,3.3,4.178904743,4.947340444,4.37852,7.6
9/1/1992,-2.715433309,0,3.22,4.181225375,4.949468859,4.37538,7.6
10/1/1992,-2.89747024,-0.18203693,3.1,4.188698224,4.953712147,4.35863,7.3
11/1/1992,-2.919192741,-0.021722502,3.09,4.192943268,4.956531035,4.35927,7.4
12/1/1992,-3.095205012,-0.17601227,2.92,4.193845947,4.957937505,4.369068,7.4
1/1/1993,-3.095205012,0,3.02,4.198168398,4.96144505,4.368054,7.3
2/1/1993,-3.054207475,0.040997537,3.03,4.202591907,4.963543687,4.377014,7.1
3/1/1993,-3.091150397,-0.036942922,3.07,4.201190973,4.964940335,4.383401,7
4/1/1993,-3.091150397,0,2.96,4.204692619,4.968423445,4.39556,7.1
5/1/1993,-2.815172153,0.275978244,3,4.201214937,4.971201225,4.41025,7.1
6/1/1993,-2.815172153,0,3.04,4.202871559,4.971894466,4.389747,7
7/1/1993,-2.819538185,-0.004366032,3.06,4.205953019,4.973279508,4.427239,6.9
